date,open,high,low,close,log_return,realized_var_proxy,parkinson_var_proxy
2015-01-05,8407.9501953125,8445.599609375,8363.900390625,8378.400390625,-0.0020329035926431203,4.132697016981306e-06,3.408062845343358e-05
2015-01-06,8325.2998046875,8327.849609375,8111.35009765625,8127.35009765625,-0.030422082918029548,0.0009255031290714653,0.0002502518281229259
2015-01-07,8118.64990234375,8151.2001953125,8065.4501953125,8102.10009765625,-0.0031116297926513815,9.68223996651568e-06,4.033932100874035e-05
2015-01-08,8191.39990234375,8243.5,8167.2998046875,8234.599609375,0.01622144246054657,0.0002631351955008231,3.1105232739521883e-05
2015-01-09,8285.4501953125,8303.2998046875,8190.7998046875,8284.5,0.006041557177687999,3.6500413131273386e-05,6.711750863291995e-05
2015-01-12,8291.349609375,8332.599609375,8245.599609375,8323.0,0.004636467736743234,2.1496833073860928e-05,3.973253819127393e-05
2015-01-13,8346.150390625,8356.650390625,8267.900390625,8299.400390625,-0.0028394966643650508,8.06274130694025e-06,4.1116834911104e-05
2015-01-14,8307.25,8326.4501953125,8236.650390625,8277.5498046875,-0.0026362628028638235,6.949881565763422e-06,4.240826990436687e-05
2015-01-15,8424.5,8527.099609375,8380.5498046875,8494.150390625,0.025830729950324278,0.0006672266097665797,0.0001083927691462989
2015-01-16,8504.0498046875,8530.75,8452.25,8513.7998046875,0.0023106162211340322,5.338947321367715e-06,3.0824157791654324e-05
2015-01-19,8550.0498046875,8570.9501953125,8531.5,8550.7001953125,0.004324820315931695,1.8704070765095524e-05,7.67640228649727e-06
2015-01-20,8575.099609375,8707.900390625,8574.5,8695.599609375,0.01680393189462208,0.0002823721271190972,8.596028910959854e-05
2015-01-21,8719.650390625,8741.849609375,8689.599609375,8729.5,0.003890988763950604,1.5139793561189849e-05,1.2962320033208265e-05
2015-01-22,8745.849609375,8774.150390625,8727.0,8761.400390625,0.003647659672542357,1.3305421086691815e-05,1.047162393294769e-05
2015-01-23,8827.9501953125,8866.400390625,8795.400390625,8835.599609375,0.008433216854945564,7.111914652253795e-05,2.331449171534696e-05
2015-01-27,8871.349609375,8925.0498046875,8825.4501953125,8910.5,0.008441385660836975,7.125699187498408e-05,4.5423201765868426e-05
2015-01-28,8902.75,8985.0498046875,8874.0498046875,8914.2998046875,0.0004263503418490414,1.8177461399479448e-07,5.5733018127511004e-05
