asset,target,model,rank_QLIKE,rank_MAE,rank_RMSE,QLIKE,MAE,RMSE
nifty50,realized_var_proxy,EWMA,1,1,4,4715.836489763281,7.962603315701145e-05,0.00018756151033852542
nifty50,realized_var_proxy,GARCH,2,4,2,4989.394527812106,8.167820600342131e-05,0.00018676458076102932
nifty50,realized_var_proxy,EGARCH,4,2,1,7113.361647236201,8.012759662770851e-05,0.00018531261500052062
nifty50,realized_var_proxy,GJR-GARCH,3,3,3,6220.369492379193,8.075911388214458e-05,0.00018755400278927417
nifty50,parkinson_var_proxy,EWMA,1,1,2,1.5353602711724095,5.0350026652633e-05,0.00010636600677258369
nifty50,parkinson_var_proxy,GARCH,4,3,3,1.738279974790814,5.3744575221459175e-05,0.00010740259652254597
nifty50,parkinson_var_proxy,EGARCH,2,2,1,1.5910290953310893,5.34813441005382e-05,0.00010597175194707372
nifty50,parkinson_var_proxy,GJR-GARCH,3,4,4,1.6432785820882134,5.388751755015581e-05,0.00011177904320745143
banknifty,realized_var_proxy,EWMA,1,1,3,1538.1076074834118,0.0001220315007573537,0.00031443581647635924
banknifty,realized_var_proxy,GARCH,4,3,2,1895.7556541968481,0.00012912074362303623,0.0003141038271229296
banknifty,realized_var_proxy,EGARCH,3,2,1,1717.425911582553,0.00012612489006635759,0.00031279753009658595
banknifty,realized_var_proxy,GJR-GARCH,2,4,4,1624.8632889115497,0.00013054737871028284,0.0003168348068102237
banknifty,parkinson_var_proxy,EWMA,1,1,2,1.0898468258481964,7.327802627271335e-05,0.0001499072082927752
banknifty,parkinson_var_proxy,GARCH,3,3,3,1.4096967801195637,8.225313470698531e-05,0.00015394648535062817
banknifty,parkinson_var_proxy,EGARCH,2,2,1,1.3474677621554618,8.033256165466818e-05,0.00014963937593812185
banknifty,parkinson_var_proxy,GJR-GARCH,4,4,4,1.4605922726597584,8.475647825964112e-05,0.00015986331893658067
adanient,realized_var_proxy,EWMA,2,1,4,602.8853643059565,0.0014332836826020502,0.005779780405877884
adanient,realized_var_proxy,GARCH,3,3,1,634.2315783079731,0.0014748439475266001,0.005578843071220901
adanient,realized_var_proxy,EGARCH,1,2,2,573.8891012418436,0.00143870206556262,0.005630189859422417
adanient,realized_var_proxy,GJR-GARCH,4,4,3,669.0991468750808,0.001501497572687255,0.00563560898605637
adanient,parkinson_var_proxy,EWMA,1,4,4,2.1280709533653286,0.0010158342482688204,0.004235931166693139
adanient,parkinson_var_proxy,GARCH,3,1,2,2.731862650806511,0.0009902102139151556,0.0035600444825001592
adanient,parkinson_var_proxy,EGARCH,2,3,3,2.5994066156500635,0.0010068619767732358,0.0038417459746059764
adanient,parkinson_var_proxy,GJR-GARCH,4,2,1,2.7620953906494976,0.0009941615599636739,0.0032914544656281685
tatasteel,realized_var_proxy,EWMA,1,1,4,308.22371642533477,0.0004467966992908432,0.0009724718806648077
tatasteel,realized_var_proxy,GARCH,4,3,2,360.7781883011827,0.0004865413755949761,0.0009699736771651177
tatasteel,realized_var_proxy,EGARCH,2,2,1,320.63928875357533,0.00046469702915102364,0.000964603381411969
tatasteel,realized_var_proxy,GJR-GARCH,3,4,3,352.3357211878591,0.0004920950123204875,0.0009713882365351536
tatasteel,parkinson_var_proxy,EWMA,1,1,3,1.015578902360863,0.0002542054395069662,0.0004693967336423247
tatasteel,parkinson_var_proxy,GARCH,3,3,2,1.541884884026354,0.00029750578109410985,0.0004676419664353146
tatasteel,parkinson_var_proxy,EGARCH,2,2,1,1.3569010046125003,0.00027534233121945213,0.0004533951667533175
tatasteel,parkinson_var_proxy,GJR-GARCH,4,4,4,1.6061413381403706,0.00030595920837238517,0.000479820613231663
dlf,realized_var_proxy,EWMA,1,1,1,274.0296922084339,0.0004553973289932666,0.0009092057356195325
dlf,realized_var_proxy,GARCH,4,4,4,643.4245124890184,0.0006541037035239665,0.0009553709410192532
dlf,realized_var_proxy,EGARCH,2,2,2,590.4487871159913,0.0006381219316086037,0.0009475578973216978
dlf,realized_var_proxy,GJR-GARCH,3,3,3,623.0503392516013,0.0006439513107137488,0.0009514171726934041
dlf,parkinson_var_proxy,EWMA,1,1,1,0.766587791117548,0.00028392895039595895,0.0007858119446435112
dlf,parkinson_var_proxy,GARCH,4,4,2,2.2597435951191436,0.0005107236958783706,0.0008586014374411982
dlf,parkinson_var_proxy,EGARCH,2,2,4,2.113131037076008,0.0004980975341677401,0.0008654191640291712
dlf,parkinson_var_proxy,GJR-GARCH,3,3,3,2.17151523645043,0.0005014985482720629,0.0008645246180389565
hindunilvr,realized_var_proxy,EWMA,4,1,4,1263.5829589660773,0.00018392204069705368,0.0003800785517994856
hindunilvr,realized_var_proxy,GARCH,2,3,2,1077.2633279205502,0.00018934218562330062,0.0003775277838629297
hindunilvr,realized_var_proxy,EGARCH,3,2,1,1080.5695450132207,0.00018800596921324039,0.00037695917876932704
hindunilvr,realized_var_proxy,GJR-GARCH,1,4,3,1016.8249975433997,0.00019214551101368055,0.0003785307890682782
hindunilvr,parkinson_var_proxy,EWMA,1,1,4,0.6681610457359131,0.00011287576387079543,0.00019972847022966723
hindunilvr,parkinson_var_proxy,GARCH,3,3,2,0.8193941069308215,0.00011654757067919457,0.00019582033155977655
hindunilvr,parkinson_var_proxy,EGARCH,2,2,1,0.7736634107416356,0.00011449706689629109,0.00019527142336113267
hindunilvr,parkinson_var_proxy,GJR-GARCH,4,4,3,0.8679703421807236,0.00011980524773056638,0.00019918062666273448
nestleind,realized_var_proxy,EWMA,1,1,1,1315.5159406092212,0.00015512071021179827,0.0002758405772311982
nestleind,realized_var_proxy,GARCH,2,2,2,1809.9604846754742,0.00017446228810380775,0.00027680371893458726
nestleind,realized_var_proxy,EGARCH,4,3,4,1871.6137245440939,0.0001749087860822854,0.0002773136072741786
nestleind,realized_var_proxy,GJR-GARCH,3,4,3,1823.8203594399363,0.00017555244677743353,0.00027709592775018553
nestleind,parkinson_var_proxy,EWMA,1,1,2,0.44545139701441006,9.801431976943553e-05,0.0001752389069492362
nestleind,parkinson_var_proxy,GARCH,3,2,1,0.6722636852521038,0.00011233994751410369,0.0001747250106264641
nestleind,parkinson_var_proxy,EGARCH,2,3,4,0.6710010564715301,0.00011319624257797124,0.0001759919762033606
