asset,model,target,MAE,RMSE,QLIKE
nifty50,STATIC_INVERSE_RMSE,realized_var_proxy,7.98988823550382e-05,0.00018595204754888554,5740.6754639296705
nifty50,STATIC_INVERSE_RMSE,parkinson_var_proxy,5.208271309800252e-05,0.00010641007202553065,1.6027366527726994
banknifty,STATIC_INVERSE_RMSE,realized_var_proxy,0.0001262206106737768,0.0003136859051672394,1686.3974339520407
banknifty,STATIC_INVERSE_RMSE,parkinson_var_proxy,7.926776954936066e-05,0.00015159930856524818,1.3046195719403604
adanient,STATIC_INVERSE_RMSE,realized_var_proxy,0.0014400585107549877,0.005589243067872048,612.8910157589377
adanient,STATIC_INVERSE_RMSE,parkinson_var_proxy,0.0009587671891240471,0.003631661388422688,2.4655532032130343
tatasteel,STATIC_INVERSE_RMSE,realized_var_proxy,0.00046958094061266245,0.0009674130045426133,334.67311835832436
tatasteel,STATIC_INVERSE_RMSE,parkinson_var_proxy,0.0002793092542021274,0.0004629206875279246,1.3504574652455734
dlf,STATIC_INVERSE_RMSE,realized_var_proxy,0.0005776122011155481,0.0009210296675274716,498.01124969864725
dlf,STATIC_INVERSE_RMSE,parkinson_var_proxy,0.0004243861563279245,0.0008210327536523068,1.674261507072804
hindunilvr,STATIC_INVERSE_RMSE,realized_var_proxy,0.00018784236270988372,0.00037774174506006433,1108.9486349248295
hindunilvr,STATIC_INVERSE_RMSE,parkinson_var_proxy,0.0001149433767172317,0.0001964251109578516,0.7708565337762936
nestleind,STATIC_INVERSE_RMSE,realized_var_proxy,0.00016900734227518594,0.0002759012768093952,1701.6660089060722
nestleind,STATIC_INVERSE_RMSE,parkinson_var_proxy,0.0001078473485303294,0.0001741144862792356,0.605845758007388
sunpharma,STATIC_INVERSE_RMSE,realized_var_proxy,0.00023471383408702634,0.00032133218847568365,1690.3923499605996
sunpharma,STATIC_INVERSE_RMSE,parkinson_var_proxy,0.00016519591708730714,0.00021188502681645198,1.163858133124181
