asset,model,omega,alpha,gamma,beta,lambda,persistence,log_likelihood,AIC,BIC,converged
nifty50,EWMA,,,,,0.94,,,,,True
nifty50,GARCH,2.560237089583506e-06,0.10100023389651941,,0.8757832885614754,,0.9767835224579948,5628.620398643883,4581.334302139293,4597.682796155442,True
nifty50,EGARCH,-9.20738610252023,0.13897200343814373,-0.12129147540367732,0.9697170377791123,,0.9697170377791123,5674.792848163259,4490.9894031005415,4512.787395122073,True
nifty50,GJR-GARCH,3.238712483520845e-06,2.975108639651885e-11,0.17547696888726427,0.88079515669646,,0.9685336411698433,5670.385435749235,4499.804227928591,4521.602219950122,True
banknifty,EWMA,,,,,0.94,,,,,True
banknifty,GARCH,3.27860654031469e-06,0.09286616522304449,,0.893511584965381,,0.9863777501884254,5090.383277069697,5713.070587519522,5729.429534507918,True
banknifty,EGARCH,-9.191356541761172,0.14983266903340095,-0.08791351806066415,0.9792179766534049,,0.9792179766534049,5114.492061617118,5666.853018424679,5688.664947742541,True
banknifty,GJR-GARCH,3.476701437620934e-06,0.02119867078737816,0.10986571116777082,0.9086812542954508,,0.9848127806667143,5115.662800349484,5664.511540959948,5686.32347027781,True
adanient,EWMA,,,,,0.94,,,,,True
adanient,GARCH,0.0001954049360818214,0.18743785582370656,,0.6698042545097723,,0.8572421103334789,3469.4729420133317,8973.311938376206,8989.674361610647,True
adanient,EGARCH,-8.83571206730426,0.27965717773874477,-0.09013716349112334,0.8586020956437173,,0.8586020956437173,3463.7182778184633,8986.821266765943,9008.63783107853,True
adanient,GJR-GARCH,0.00019120295508714337,0.10563091398278442,0.16936279031743573,0.6770725747869767,,0.867384883928479,3480.786526140334,8952.684770122201,8974.501334434788,True
tatasteel,EWMA,,,,,0.94,,,,,True
tatasteel,GARCH,1.6053099222624227e-05,0.045198456937321586,,0.9274997238581166,,0.9726981807954382,4020.3329689320053,7871.591884538859,7887.954307773299,True
tatasteel,EGARCH,-9.166152404348178,0.08867778281142964,-0.041257323851988624,0.9774948103074492,,0.9774948103074492,4028.0085370828465,7858.240748237176,7880.057312549763,True
tatasteel,GJR-GARCH,1.58310415306858e-05,0.018537574572606897,0.04496951550598884,0.9328614622597639,,0.9738837945853651,4026.622290535213,7861.013241332444,7882.82980564503,True
dlf,EWMA,,,,,0.94,,,,,True
dlf,GARCH,0.00019354374493342063,0.0979760746352827,,0.6851844917784762,,0.7831605664137589,3649.2375487549834,8613.782724892902,8630.145148127343,True
dlf,EGARCH,-8.910615794163334,0.11817368102094437,-0.13931569449963352,0.8640193784340019,,0.8640193784340019,3665.633291756074,8582.991238890721,8604.807803203308,True
dlf,GJR-GARCH,0.00016787418586273824,0.013415434055037706,0.15097988864887282,0.7229502124448827,,0.8118555908243569,3662.0843673306736,8590.089087741522,8611.905652054109,True
hindunilvr,EWMA,,,,,0.94,,,,,True
hindunilvr,GARCH,1.101234930308016e-05,0.05680393764947437,,0.8829552994128346,,0.9397592370623089,4993.819657718597,5924.618506965675,5940.980930200115,True
hindunilvr,EGARCH,-9.177813789072268,0.13395289538227742,-0.016013974028751946,0.9573784244875976,,0.9573784244875976,4987.702094196735,5938.8536340094,5960.670198321986,True
hindunilvr,GJR-GARCH,1.1024413209832712e-05,0.0369457488476441,0.04101834269315808,0.8848599089878353,,0.9423148291820584,4996.165883061916,5921.926056279036,5943.742620591623,True
nestleind,EWMA,,,,,0.94,,,,,True
nestleind,GARCH,1.378013350248721e-05,0.07443526734354529,,0.8656170466470346,,0.94005231399058,4849.232779115356,6213.792264172158,6230.154687406598,True
nestleind,EGARCH,-9.162695857839198,0.16017457299414767,-0.03740014190287134,0.953840991989781,,0.953840991989781,4848.254946577087,6217.747929248695,6239.564493561282,True
nestleind,GJR-GARCH,1.3001265604823394e-05,0.048361220170342986,0.04770819238212324,0.874156826682999,,0.9463721430444035,4851.926465013043,6210.404892376783,6232.22145668937,True
sunpharma,EWMA,,,,,0.94,,,,,True
sunpharma,GARCH,7.837254649892713e-05,0.11134275696431704,,0.7081358740073609,,0.819478630971678,4298.333154101048,7315.5915142007725,7331.9539374352125,True
sunpharma,EGARCH,-8.93504658422336,0.218358881647795,-0.05282917354655024,0.8142473120996114,,0.8142473120996114,4300.9527920662185,7312.352238270431,7334.168802583018,True
sunpharma,GJR-GARCH,8.541435199279584e-05,0.0666461811396831,0.09545152180695983,0.6882574686984634,,0.8026294107416264,4301.8554904323855,7310.546841538098,7332.363405850685,True
